,num_barcodes,barcode_length_in_aa,num_oligos,is_capped
6796,5,2,354.0,False
6797,5,3,5768.0,False
6798,5,4,88568.0,False
6799,1,1,14.0,False
6800,1,2,431.0,False
6801,1,3,8881.0,False
6802,1,4,367768.0,False
6803,1,5,10000000.0,True
6804,3,1,7.0,False
6805,3,2,272.0,False
6806,3,3,3162.0,False
6807,3,4,428651.0,False
6808,5,1,6.0,False
6809,5,2,104.0,False
6810,5,3,11800.0,False
6811,5,4,363311.0,False
6812,1,1,27.0,False
6813,1,2,482.0,False
6814,1,3,14376.0,False
6815,1,4,727001.0,False
6816,1,5,10000000.0,True
6817,3,1,9.0,False
6818,3,2,153.0,False
6819,3,3,15371.0,False
6820,3,4,446671.0,False
6821,5,1,12.0,False
6822,5,2,308.0,False
6823,5,3,10436.0,False
6824,5,4,441821.0,False
6825,1,1,16.0,False
6826,1,2,540.0,False
6827,1,3,11487.0,False
6828,1,4,665354.0,False
6829,1,5,10000000.0,True
6830,3,1,13.0,False
6831,3,2,347.0,False
6832,3,3,10820.0,False
6833,3,4,574750.0,False
6834,5,1,8.0,False
6835,5,2,371.0,False
6836,5,3,7880.0,False
6837,5,4,322184.0,False
6838,1,1,9.0,False
6839,1,2,566.0,False
6840,1,3,17146.0,False
6841,1,4,620143.0,False
6842,1,5,10000000.0,True
6843,3,1,12.0,False
6844,3,2,301.0,False
6845,3,3,15194.0,False
6846,3,4,200150.0,False
6847,5,1,14.0,False
6848,5,2,534.0,False
6849,5,3,7154.0,False
6850,5,4,268897.0,False
6851,1,1,5.0,False
6852,1,2,223.0,False
6853,1,3,15325.0,False
6854,1,4,426060.0,False
6855,1,5,10000000.0,True
6856,3,1,9.0,False
6857,3,2,313.0,False
6858,3,3,11867.0,False
6859,3,4,361734.0,False
6860,5,1,9.0,False
6861,5,2,212.0,False
6862,5,3,7007.0,False
6863,5,4,249210.0,False
6864,1,1,31.0,False
6865,1,2,481.0,False
6866,1,3,21865.0,False
6867,1,4,587960.0,False
6868,1,5,10000000.0,True
6869,3,1,14.0,False
6870,3,2,206.0,False
6871,3,3,8020.0,False
6872,3,4,256546.0,False
6873,5,1,6.0,False
6874,5,2,214.0,False
6875,5,3,5961.0,False
6876,5,4,421215.0,False
6877,1,1,21.0,False
6878,1,2,431.0,False
6879,1,3,14574.0,False
6880,1,4,88408.0,False
6881,1,5,10000000.0,True
